Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	
kirby142a_3_1_ax.img	midbrain_L	5279	89.0000	320.0000	250.1553	26.4074	
kirby142a_3_1_ax.img	midbrain_R	5237	68.0000	330.0000	255.3041	30.1638	
kirby142a_3_1_ax.img	Cerebellum_R	75993	1.0000	290.0000	146.2543	51.1692	
kirby142a_3_1_ax.img	Cerebellum_L	73510	4.0000	275.0000	135.2743	45.7269	
kirby142a_3_1_ax.img	Pons_L	7709	30.0000	310.0000	238.0103	26.4668	
kirby142a_3_1_ax.img	Pons_R	8592	56.0000	309.0000	244.9003	24.8835	
kirby142a_3_1_ax.img	Medulla_L	2490	47.0000	282.0000	209.2694	38.4623	
kirby142a_3_1_ax.img	Medulla_R	2422	36.0000	297.0000	220.3984	34.1248	
kirby142a_3_1_ax.img	AnteriorWM_L	89681	12.0000	355.0000	200.0202	34.9594	
kirby142a_3_1_ax.img	AnteriorWM_R	93041	20.0000	325.0000	198.2550	31.9557	
kirby142a_3_1_ax.img	PosteriorWM_L	75470	12.0000	267.0000	174.4228	27.9894	
kirby142a_3_1_ax.img	PosteriorWM_R	77748	13.0000	292.0000	192.4528	31.9044	
kirby142a_3_1_ax.img	CorpusCallosum_L	14195	37.0000	378.0000	237.6139	29.4832	
kirby142a_3_1_ax.img	CorpusCallosum_R	15080	25.0000	376.0000	244.8352	28.5018	
kirby142a_3_1_ax.img	InferiorWM_L	61977	29.0000	306.0000	203.1942	32.4370	
kirby142a_3_1_ax.img	InferiorWM_R	62603	20.0000	332.0000	217.8078	32.9977	
kirby142a_3_1_ax.img	LimbicWM_L	14399	29.0000	313.0000	211.6687	32.1249	
kirby142a_3_1_ax.img	LimbicWM_R	12732	28.0000	307.0000	222.0584	35.5016	
kirby142a_3_1_ax.img	LateralVentricle_L	17476	0.0000e+00	283.0000	43.8978	36.0448	
kirby142a_3_1_ax.img	LateralVentricle_R	19833	0.0000e+00	256.0000	42.9098	36.3136	
kirby142a_3_1_ax.img	III_ventricle	2020	8.0000	250.0000	88.7724	41.4971	
kirby142a_3_1_ax.img	FrontSul_L	15466	0.0000e+00	108.0000	31.3586	18.9362	
kirby142a_3_1_ax.img	FrontSul_R	11088	0.0000e+00	111.0000	31.3635	19.8373	
kirby142a_3_1_ax.img	CentralSul_L	2469	1.0000	100.0000	30.6500	18.7203	
kirby142a_3_1_ax.img	CentralSul_R	2457	0.0000e+00	126.0000	28.5042	19.2384	
kirby142a_3_1_ax.img	SylvianFissureExt_L	3576	0.0000e+00	155.0000	38.7779	22.8208	
kirby142a_3_1_ax.img	SylvianFissureExt_R	2342	0.0000e+00	147.0000	42.5377	22.7448	
kirby142a_3_1_ax.img	ParietSul_L	9725	0.0000e+00	109.0000	27.5073	18.8678	
kirby142a_3_1_ax.img	ParietSul_R	10545	0.0000e+00	119.0000	29.4144	20.3602	
kirby142a_3_1_ax.img	CinguSul_L	1386	0.0000e+00	130.0000	54.5100	25.5782	
kirby142a_3_1_ax.img	CinguSul_R	1722	1.0000	143.0000	47.6829	24.4243	
kirby142a_3_1_ax.img	OcciptSul_L	1899	0.0000e+00	124.0000	30.0601	20.4333	
kirby142a_3_1_ax.img	OcciptSul_R	1730	1.0000	151.0000	37.7162	23.5447	
kirby142a_3_1_ax.img	TempSul_L	473	5.0000	111.0000	42.5279	17.4468	
kirby142a_3_1_ax.img	TempSul_R	406	4.0000	101.0000	43.6509	18.8296	
kirby142a_3_1_ax.img	IV_ventricle	2728	5.0000	241.0000	73.8768	42.0581	



Type1-L4 Statistics

kirby142a_3_1_ax.img	SFG_L	25200	1.0000	223.0000	93.3834	27.4337	
kirby142a_3_1_ax.img	SFG_R	25643	0.0000e+00	212.0000	93.6291	26.1937	
kirby142a_3_1_ax.img	MFG_L	23859	4.0000	214.0000	95.3256	28.0320	
kirby142a_3_1_ax.img	MFG_R	22284	7.0000	209.0000	94.1290	24.8624	
kirby142a_3_1_ax.img	IFG_L	12045	4.0000	229.0000	105.7478	29.4467	
kirby142a_3_1_ax.img	IFG_R	9640	8.0000	197.0000	103.6903	26.0976	
kirby142a_3_1_ax.img	OG_L	10385	4.0000	253.0000	124.5455	30.9933	
kirby142a_3_1_ax.img	OG_R	10145	4.0000	233.0000	118.9113	29.8159	
kirby142a_3_1_ax.img	RG_L	5442	15.0000	243.0000	122.7892	30.9698	
kirby142a_3_1_ax.img	RG_R	5181	18.0000	235.0000	122.6986	28.1587	
kirby142a_3_1_ax.img	PoCG_L	12263	4.0000	192.0000	88.1584	25.9229	
kirby142a_3_1_ax.img	PoCG_R	12394	7.0000	207.0000	98.3551	28.2670	
kirby142a_3_1_ax.img	PrCG_L	14045	4.0000	206.0000	93.2613	25.3480	
kirby142a_3_1_ax.img	PrCG_R	18244	2.0000	201.0000	99.0676	26.7181	
kirby142a_3_1_ax.img	SPG_L	8013	5.0000	178.0000	90.5371	26.4658	
kirby142a_3_1_ax.img	SPG_R	7698	3.0000	194.0000	99.7629	30.3935	
kirby142a_3_1_ax.img	SMG_L	10542	5.0000	201.0000	91.1974	25.6573	
kirby142a_3_1_ax.img	SMG_R	10161	5.0000	218.0000	100.0011	28.5310	
kirby142a_3_1_ax.img	AG_L	8154	2.0000	179.0000	84.8765	23.4903	
kirby142a_3_1_ax.img	AG_R	11973	1.0000	203.0000	98.5657	27.3558	
kirby142a_3_1_ax.img	PrCu_L	7811	6.0000	179.0000	93.3758	26.3138	
kirby142a_3_1_ax.img	PrCu_R	6394	4.0000	214.0000	99.4471	29.4124	
kirby142a_3_1_ax.img	STG_L	20424	4.0000	200.0000	105.0810	27.4089	
kirby142a_3_1_ax.img	STG_R	19529	2.0000	232.0000	113.0476	29.0634	
kirby142a_3_1_ax.img	MTG_L	18033	10.0000	215.0000	100.1055	25.4282	
kirby142a_3_1_ax.img	MTG_R	17039	11.0000	217.0000	109.1481	25.8226	
kirby142a_3_1_ax.img	ITG_L	12608	4.0000	217.0000	108.4825	25.9175	
kirby142a_3_1_ax.img	ITG_R	12782	5.0000	213.0000	116.3695	26.8074	
kirby142a_3_1_ax.img	Limbic_L	2088	68.0000	257.0000	155.0391	26.7906	
kirby142a_3_1_ax.img	Limbic_R	2253	48.0000	256.0000	164.3143	29.6486	
kirby142a_3_1_ax.img	FuG_L	15122	1.0000	220.0000	116.9641	27.6184	
kirby142a_3_1_ax.img	FuG_R	15226	7.0000	259.0000	128.1049	29.2086	
kirby142a_3_1_ax.img	SOG_L	2496	9.0000	177.0000	99.0317	26.9838	
kirby142a_3_1_ax.img	SOG_R	3474	6.0000	186.0000	99.5064	29.8504	
kirby142a_3_1_ax.img	MOG_L	16760	1.0000	175.0000	87.3758	25.1298	
kirby142a_3_1_ax.img	MOG_R	16012	3.0000	213.0000	97.6414	28.8487	
kirby142a_3_1_ax.img	IOG_L	3486	16.0000	177.0000	95.5797	25.4322	
kirby142a_3_1_ax.img	IOG_R	4610	4.0000	216.0000	109.6532	29.2214	
kirby142a_3_1_ax.img	Cu_L	7118	4.0000	207.0000	100.8629	30.5086	
kirby142a_3_1_ax.img	Cu_R	6581	1.0000	222.0000	102.9818	33.0813	
kirby142a_3_1_ax.img	LG_L	8453	2.0000	227.0000	115.6864	31.6481	
kirby142a_3_1_ax.img	LG_R	7449	1.0000	262.0000	125.4682	35.2474	
kirby142a_3_1_ax.img	Cingulate_L	22227	3.0000	292.0000	123.2485	34.0657	
kirby142a_3_1_ax.img	Cingulate_R	21976	8.0000	320.0000	123.5860	33.6124	
kirby142a_3_1_ax.img	Insula_L	6819	2.0000	218.0000	122.0852	25.4801	
kirby142a_3_1_ax.img	Insula_R	7013	10.0000	281.0000	129.9002	27.6152	
kirby142a_3_1_ax.img	Amyg_L	1656	74.0000	248.0000	159.7283	16.9026	
kirby142a_3_1_ax.img	Amyg_R	2019	30.0000	292.0000	165.3609	19.6056	
kirby142a_3_1_ax.img	Hippo_L	3550	35.0000	272.0000	152.6562	27.1275	
kirby142a_3_1_ax.img	Hippo_R	3498	25.0000	306.0000	161.6274	31.0850	
kirby142a_3_1_ax.img	Caud_L	4049	51.0000	293.0000	177.6206	24.7832	
kirby142a_3_1_ax.img	Caud_R	4247	59.0000	272.0000	175.9746	24.2822	
kirby142a_3_1_ax.img	Put_L	4655	95.0000	266.0000	190.1364	16.2662	
kirby142a_3_1_ax.img	Put_R	4823	119.0000	266.0000	194.3568	17.6807	
kirby142a_3_1_ax.img	GP_L	1502	185.0000	305.0000	243.9392	13.7164	
kirby142a_3_1_ax.img	GP_R	1568	192.0000	304.0000	249.8446	14.0897	
kirby142a_3_1_ax.img	Thalamus_L	5919	48.0000	287.0000	214.4761	26.2714	
kirby142a_3_1_ax.img	Thalamus_R	6107	56.0000	307.0000	220.1262	29.1764	
kirby142a_3_1_ax.img	BasalForebrain_L	3992	30.0000	318.0000	213.8193	44.7753	
kirby142a_3_1_ax.img	BasalForebrain_R	3851	55.0000	355.0000	213.7423	41.0278	
kirby142a_3_1_ax.img	midbrain_L	5279	89.0000	320.0000	250.1553	26.4074	
kirby142a_3_1_ax.img	midbrain_R	5237	68.0000	330.0000	255.3041	30.1638	
kirby142a_3_1_ax.img	Cerebellum_R	62766	1.0000	265.0000	130.0236	38.9486	
kirby142a_3_1_ax.img	Cerebellum_L	61514	4.0000	252.0000	121.6924	35.4112	
kirby142a_3_1_ax.img	Pons_L	7709	30.0000	310.0000	238.0103	26.4668	
kirby142a_3_1_ax.img	Pons_R	8592	56.0000	309.0000	244.9003	24.8835	
kirby142a_3_1_ax.img	Medulla_L	2490	47.0000	282.0000	209.2694	38.4623	
kirby142a_3_1_ax.img	Medulla_R	2422	36.0000	297.0000	220.3984	34.1248	
kirby142a_3_1_ax.img	ant_DPWM_L	31193	140.0000	286.0000	225.6179	19.1010	
kirby142a_3_1_ax.img	ant_DPWM_R	29955	148.0000	287.0000	225.9256	14.0012	
kirby142a_3_1_ax.img	post_DPWM_L	6285	160.0000	246.0000	208.7006	10.8433	
kirby142a_3_1_ax.img	post_DPWM_R	5182	165.0000	272.0000	231.8571	10.7482	
kirby142a_3_1_ax.img	GCC_L	2972	104.0000	378.0000	259.3086	24.1024	
kirby142a_3_1_ax.img	GCC_R	3378	81.0000	376.0000	252.5076	26.2294	
kirby142a_3_1_ax.img	BCC_L	5154	45.0000	280.0000	231.1148	27.1448	
kirby142a_3_1_ax.img	BCC_R	5159	25.0000	282.0000	234.9751	28.8706	
kirby142a_3_1_ax.img	SCC_L	6070	37.0000	297.0000	232.5127	28.8194	
kirby142a_3_1_ax.img	SCC_R	6543	41.0000	308.0000	248.6486	27.1715	
kirby142a_3_1_ax.img	PVA_posterior_L	1127	12.0000	250.0000	155.1065	47.2329	
kirby142a_3_1_ax.img	PVA_posterior_R	1170	13.0000	280.0000	164.7754	55.2796	
kirby142a_3_1_ax.img	ALIC_L	2477	164.0000	306.0000	249.6516	23.3051	
kirby142a_3_1_ax.img	ALIC_R	2494	164.0000	304.0000	250.2108	20.4933	
kirby142a_3_1_ax.img	PLIC_L	3064	177.0000	295.0000	243.1571	17.8968	
kirby142a_3_1_ax.img	PLIC_R	2951	185.0000	303.0000	253.3880	14.4934	
kirby142a_3_1_ax.img	inf_DPWM_L	20787	75.0000	281.0000	209.3039	26.0064	
kirby142a_3_1_ax.img	inf_DPWM_R	19042	40.0000	332.0000	229.8431	27.8419	
kirby142a_3_1_ax.img	CGC_L	3861	109.0000	267.0000	216.6198	26.0753	
kirby142a_3_1_ax.img	CGC_R	3804	104.0000	272.0000	220.8334	26.3707	
kirby142a_3_1_ax.img	CGH_L	1662	140.0000	277.0000	225.1350	27.2555	
kirby142a_3_1_ax.img	CGH_R	1536	76.0000	305.0000	240.4031	31.5912	
kirby142a_3_1_ax.img	Fx/ST_L	1388	114.0000	303.0000	225.1635	27.9843	
kirby142a_3_1_ax.img	Fx/ST_R	1397	58.0000	307.0000	237.3686	32.9748	
kirby142a_3_1_ax.img	Fx_L	873	29.0000	313.0000	178.7359	57.8219	
kirby142a_3_1_ax.img	Fx_R	870	28.0000	301.0000	183.4497	55.4619	
kirby142a_3_1_ax.img	PeripheralParietalWM_L	37385	71.0000	245.0000	173.4190	27.3731	
kirby142a_3_1_ax.img	PeripheralParietalWM_R	38219	70.0000	260.0000	191.2602	30.7127	
kirby142a_3_1_ax.img	AnteriorLateralVentricle_L	13040	0.0000e+00	283.0000	41.9313	33.1554	
kirby142a_3_1_ax.img	PosteriorLateralVentricle_L	3296	0.0000e+00	246.0000	40.0004	36.2995	
kirby142a_3_1_ax.img	InferiorLateralVentricle_L	1142	1.0000	247.0000	77.6215	48.0128	
kirby142a_3_1_ax.img	AnteriorLateralVentricle_R	12932	0.0000e+00	245.0000	43.0700	33.1686	
kirby142a_3_1_ax.img	PosteriorLateralVentricle_R	5177	0.0000e+00	231.0000	32.2063	32.5207	
kirby142a_3_1_ax.img	InferiorLateralVentricle_R	1725	1.0000	256.0000	73.8413	49.3994	
kirby142a_3_1_ax.img	III_ventricle	2020	8.0000	250.0000	88.7724	41.4971	
kirby142a_3_1_ax.img	PVA_anterior_L	926	12.0000	258.0000	180.2412	51.3829	
kirby142a_3_1_ax.img	PVA_anterior_R	894	20.0000	253.0000	184.6054	46.9471	
kirby142a_3_1_ax.img	PeripheralFrontalWM_L	57563	76.0000	355.0000	186.4669	33.4498	
kirby142a_3_1_ax.img	PeripheralFrontalWM_R	62193	71.0000	325.0000	185.1239	29.2866	
kirby142a_3_1_ax.img	PeripheralTemporalWM_L	35219	29.0000	279.0000	193.3482	30.4763	
kirby142a_3_1_ax.img	PeripheralTemporalWM_R	37701	82.0000	296.0000	207.2786	31.0226	
kirby142a_3_1_ax.img	PeripheralOccipitalWM_L	31104	75.0000	267.0000	169.2318	25.4829	
kirby142a_3_1_ax.img	PeripheralOccipitalWM_R	33594	36.0000	292.0000	188.4741	30.3303	
kirby142a_3_1_ax.img	PeripheralCingulateWM_L	6617	96.0000	303.0000	206.9106	28.1749	
kirby142a_3_1_ax.img	PeripheralCingulateWM_R	5126	74.0000	301.0000	219.8511	32.7642	
kirby142a_3_1_ax.img	CerebellumWM_R	13227	103.0000	290.0000	223.2774	25.7258	
kirby142a_3_1_ax.img	CerebellumWM_L	11997	81.0000	275.0000	204.9172	24.2231	
kirby142a_3_1_ax.img	FrontSul_L	15466	0.0000e+00	108.0000	31.3586	18.9362	
kirby142a_3_1_ax.img	FrontSul_R	11088	0.0000e+00	111.0000	31.3635	19.8373	
kirby142a_3_1_ax.img	CentralSul_L	2469	1.0000	100.0000	30.6500	18.7203	
kirby142a_3_1_ax.img	CentralSul_R	2457	0.0000e+00	126.0000	28.5042	19.2384	
kirby142a_3_1_ax.img	SylFrontSul_L	1901	1.0000	127.0000	38.8018	23.7661	
kirby142a_3_1_ax.img	SylFrontSul_R	1182	0.0000e+00	116.0000	43.1320	23.2926	
kirby142a_3_1_ax.img	SylTempSul_L	1331	1.0000	155.0000	40.2615	22.3836	
kirby142a_3_1_ax.img	SylTempSul_R	845	3.0000	147.0000	44.1861	22.5843	
kirby142a_3_1_ax.img	SylParieSul_L	345	0.0000e+00	83.0000	32.9129	17.6405	
kirby142a_3_1_ax.img	SylParieSul_R	315	1.0000	116.0000	35.8740	19.7243	
kirby142a_3_1_ax.img	ParietSul_L	9725	0.0000e+00	109.0000	27.5073	18.8678	
kirby142a_3_1_ax.img	ParietSul_R	10545	0.0000e+00	119.0000	29.4144	20.3602	
kirby142a_3_1_ax.img	CinguSul_L	1386	0.0000e+00	130.0000	54.5100	25.5782	
kirby142a_3_1_ax.img	CinguSul_R	1722	1.0000	143.0000	47.6829	24.4243	
kirby142a_3_1_ax.img	OcciptSul_L	1899	0.0000e+00	124.0000	30.0601	20.4333	
kirby142a_3_1_ax.img	OcciptSul_R	1730	1.0000	151.0000	37.7162	23.5447	
kirby142a_3_1_ax.img	TempSul_L	473	5.0000	111.0000	42.5279	17.4468	
kirby142a_3_1_ax.img	TempSul_R	406	4.0000	101.0000	43.6509	18.8296	
kirby142a_3_1_ax.img	Caudate_tail_L	334	31.0000	256.0000	160.4137	43.8018	
kirby142a_3_1_ax.img	Caudate_tail_R	281	46.0000	272.0000	164.2393	45.2941	
kirby142a_3_1_ax.img	IV_ventricle	2728	5.0000	241.0000	73.8768	42.0581	



Type1-L5 Statistics

kirby142a_3_1_ax.img	SFG_L	11512	1.0000	180.0000	86.2449	23.4494	
kirby142a_3_1_ax.img	SFG_R	10301	0.0000e+00	174.0000	86.5883	23.3396	
kirby142a_3_1_ax.img	SFG_PFC_L	11158	11.0000	223.0000	98.0645	28.6802	
kirby142a_3_1_ax.img	SFG_PFC_R	11340	3.0000	207.0000	96.0911	25.6564	
kirby142a_3_1_ax.img	SFG_pole_L	2531	13.0000	207.0000	105.2162	29.9663	
kirby142a_3_1_ax.img	SFG_pole_R	4002	13.0000	212.0000	104.7754	29.3247	
kirby142a_3_1_ax.img	MFG_L	9798	10.0000	192.0000	88.4993	26.2454	
kirby142a_3_1_ax.img	MFG_R	9764	7.0000	186.0000	91.3948	24.3217	
kirby142a_3_1_ax.img	MFG_DPFC_L	14061	4.0000	214.0000	100.0824	28.2537	
kirby142a_3_1_ax.img	MFG_DPFC_R	12521	8.0000	209.0000	96.2610	25.0699	
kirby142a_3_1_ax.img	IFG_opercularis_L	4612	4.0000	200.0000	99.9269	27.9639	
kirby142a_3_1_ax.img	IFG_opercularis_R	3687	9.0000	190.0000	103.4840	26.0200	
kirby142a_3_1_ax.img	IFG_orbitalis_L	3942	6.0000	229.0000	113.4347	30.2839	
kirby142a_3_1_ax.img	IFG_orbitalis_R	2920	8.0000	193.0000	103.2902	26.8628	
kirby142a_3_1_ax.img	IFG_triangularis_L	3491	5.0000	218.0000	104.7573	28.4717	
kirby142a_3_1_ax.img	IFG_triangularis_R	3034	15.0000	197.0000	104.3259	25.4241	
kirby142a_3_1_ax.img	LFOG_L	5144	4.0000	223.0000	120.4480	28.4008	
kirby142a_3_1_ax.img	LFOG_R	5464	4.0000	211.0000	114.0687	28.8510	
kirby142a_3_1_ax.img	MFOG_L	5242	7.0000	253.0000	128.5662	32.8486	
kirby142a_3_1_ax.img	MFOG_R	4682	10.0000	233.0000	124.5632	29.9289	
kirby142a_3_1_ax.img	RG_L	5442	15.0000	243.0000	122.7892	30.9698	
kirby142a_3_1_ax.img	RG_R	5181	18.0000	235.0000	122.6986	28.1587	
kirby142a_3_1_ax.img	PoCG_L	12263	4.0000	192.0000	88.1584	25.9229	
kirby142a_3_1_ax.img	PoCG_R	12394	7.0000	207.0000	98.3551	28.2670	
kirby142a_3_1_ax.img	PrCG_L	14045	4.0000	206.0000	93.2613	25.3480	
kirby142a_3_1_ax.img	PrCG_R	18244	2.0000	201.0000	99.0676	26.7181	
kirby142a_3_1_ax.img	SPG_L	8013	5.0000	178.0000	90.5371	26.4658	
kirby142a_3_1_ax.img	SPG_R	7698	3.0000	194.0000	99.7629	30.3935	
kirby142a_3_1_ax.img	SMG_L	10542	5.0000	201.0000	91.1974	25.6573	
kirby142a_3_1_ax.img	SMG_R	10161	5.0000	218.0000	100.0011	28.5310	
kirby142a_3_1_ax.img	AG_L	8154	2.0000	179.0000	84.8765	23.4903	
kirby142a_3_1_ax.img	AG_R	11973	1.0000	203.0000	98.5657	27.3558	
kirby142a_3_1_ax.img	PrCu_L	7811	6.0000	179.0000	93.3758	26.3138	
kirby142a_3_1_ax.img	PrCu_R	6394	4.0000	214.0000	99.4471	29.4124	
kirby142a_3_1_ax.img	STG_L	14294	12.0000	200.0000	103.0568	28.3771	
kirby142a_3_1_ax.img	STG_R	13352	2.0000	219.0000	113.7713	30.5199	
kirby142a_3_1_ax.img	STG_L_pole	6131	4.0000	200.0000	109.8002	24.3619	
kirby142a_3_1_ax.img	STG_R_pole	6178	10.0000	232.0000	111.4837	25.5646	
kirby142a_3_1_ax.img	MTG_L	14759	10.0000	210.0000	96.0844	24.3808	
kirby142a_3_1_ax.img	MTG_R	14313	11.0000	217.0000	107.2827	25.8754	
kirby142a_3_1_ax.img	MTG_L_pole	3274	28.0000	215.0000	118.2346	21.9144	
kirby142a_3_1_ax.img	MTG_R_pole	2727	19.0000	209.0000	118.9406	23.2015	
kirby142a_3_1_ax.img	ITG_L	12608	4.0000	217.0000	108.4825	25.9175	
kirby142a_3_1_ax.img	ITG_R	12782	5.0000	213.0000	116.3695	26.8074	
kirby142a_3_1_ax.img	PHG_L	974	68.0000	253.0000	155.8681	28.6808	
kirby142a_3_1_ax.img	PHG_R	1173	48.0000	256.0000	166.3009	33.5923	
kirby142a_3_1_ax.img	ENT_L	1115	78.0000	257.0000	154.3154	25.0015	
kirby142a_3_1_ax.img	ENT_R	1080	81.0000	255.0000	162.1578	24.4820	
kirby142a_3_1_ax.img	FuG_L	15122	1.0000	220.0000	116.9641	27.6184	
kirby142a_3_1_ax.img	FuG_R	15226	7.0000	259.0000	128.1049	29.2086	
kirby142a_3_1_ax.img	SOG_L	2496	9.0000	177.0000	99.0317	26.9838	
kirby142a_3_1_ax.img	SOG_R	3474	6.0000	186.0000	99.5064	29.8504	
kirby142a_3_1_ax.img	MOG_L	16760	1.0000	175.0000	87.3758	25.1298	
kirby142a_3_1_ax.img	MOG_R	16012	3.0000	213.0000	97.6414	28.8487	
kirby142a_3_1_ax.img	IOG_L	3486	16.0000	177.0000	95.5797	25.4322	
kirby142a_3_1_ax.img	IOG_R	4610	4.0000	216.0000	109.6532	29.2214	
kirby142a_3_1_ax.img	Cu_L	7118	4.0000	207.0000	100.8629	30.5086	
kirby142a_3_1_ax.img	Cu_R	6581	1.0000	222.0000	102.9818	33.0813	
kirby142a_3_1_ax.img	LG_L	8453	2.0000	227.0000	115.6864	31.6481	
kirby142a_3_1_ax.img	LG_R	7449	1.0000	262.0000	125.4682	35.2474	
kirby142a_3_1_ax.img	rostral_ACC_L	2234	24.0000	236.0000	119.5922	24.3249	
kirby142a_3_1_ax.img	rostral_ACC_R	2685	18.0000	230.0000	120.4689	26.1435	
kirby142a_3_1_ax.img	subcallosal_ACC_L	401	15.0000	259.0000	150.7246	43.1504	
kirby142a_3_1_ax.img	subcallosal_ACC_R	466	25.0000	304.0000	142.5541	33.4920	
kirby142a_3_1_ax.img	subgenual_ACC_L	1486	16.0000	292.0000	168.2609	39.9828	
kirby142a_3_1_ax.img	subgenual_ACC_R	1419	20.0000	320.0000	158.2682	45.2364	
kirby142a_3_1_ax.img	dorsal_ACC_L	11568	3.0000	256.0000	112.8164	29.3923	
kirby142a_3_1_ax.img	dorsal_ACC_R	10706	8.0000	257.0000	112.6213	28.6867	
kirby142a_3_1_ax.img	PCC_L	6539	15.0000	240.0000	131.0420	31.1834	
kirby142a_3_1_ax.img	PCC_R	6702	23.0000	258.0000	133.6906	32.0580	
kirby142a_3_1_ax.img	Insula_L	6819	2.0000	218.0000	122.0852	25.4801	
kirby142a_3_1_ax.img	Insula_R	7013	10.0000	281.0000	129.9002	27.6152	
kirby142a_3_1_ax.img	Amyg_L	1656	74.0000	248.0000	159.7283	16.9026	
kirby142a_3_1_ax.img	Amyg_R	2019	30.0000	292.0000	165.3609	19.6056	
